TRANID,24-Oct-16,25-Oct-16,26-Oct-16,27-Oct-16,31-Oct-16,1-Nov-16,2-Nov-16,3-Nov-16,7-Nov-16,8-Nov-16,9-Nov-16,10-Nov-16,14-Nov-16,20-Nov-16,21-Nov-16,22-Nov-16,23-Nov-16,28-Nov-16,29-Nov-16,30-Nov-16,1-Dec-16,5-Dec-16,6-Dec-16,7-Dec-16,8-Dec-16,12-Dec-16,13-Dec-16,14-Dec-16,15-Dec-16,19-Dec-16,20-Dec-16,21-Dec-16,22-Dec-16,27-Dec-16,28-Dec-16,29-Dec-16,30-Dec-16
NEE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
A,2,2,2,3,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,2,2,2,3,0,1,1,1,1,1,1,1
B,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,0,1,1,1,2,2,2,3
C,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1
D,2,2,2,3,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,2,2,2,3,0,1,1,1,1,1,1,1
E,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,0,1,1,1,2,2,2,3
F,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,0,2,2,3,1,1,1,1
G,2,2,2,3,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1
H,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,0,1,1,1,2,2,2,3
I,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1
J,2,2,2,3,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,2,2,2,3,0,1,1,1,1,1,1,1
K,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,0,1,1,1,2,2,2,3
L,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1
M,2,2,2,3,1,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,2,2,2,3,0,1,1,1,1,1,1,1
N,1,1,1,1,1,1,1,1,2,2,2,3,0,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,0,1,1,1,2,2,2,3
O,1,1,1,1,2,2,2,3,1,1,1,1,0,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1
P,2,2,2,3,1,1,1,1,1,1,1,1,0,2,2,2,3,1,1,1,1,1,1,1,1,2,2,2,3,0,1,1,1,1,1,1,1
Q,1,1,1,1,1,1,1,1,2,2,2,3,0,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,0,1,1,1,2,2,2,3
R,1,1,1,1,2,2,2,3,1,1,1,1,0,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,0,2,2,3,1,1,1,1
S,2,2,2,3,1,1,1,1,1,1,1,1,0,2,2,2,3,1,1,1,1,1,1,1,1,2,2,2,3,0,1,1,1,1,1,1,1
T,1,1,1,1,1,1,1,1,2,2,2,3,0,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,2,2,2,3
U,1,1,1,1,2,2,2,3,1,1,1,1,0,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,0,2,2,3,1,1,1,1
V,2,2,2,3,1,1,1,1,1,1,1,1,0,2,2,2,3,1,1,1,1,1,1,1,1,2,2,2,3,0,1,1,1,1,1,1,1
W,1,1,1,1,1,1,1,1,2,2,2,3,0,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,0,1,1,1,2,2,2,3
X,1,1,1,1,2,2,2,3,1,1,1,1,0,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,0,2,2,3,1,1,1,1
Y,2,3,2,3,1,1,1,1,1,1,1,1,0,2,2,2,3,1,1,1,1,1,1,1,1,2,2,2,3,0,1,1,1,1,1,1,1
Z,1,2,3,1,1,1,1,1,2,2,2,3,0,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,2,2,2,3
AA,1,1,1,1,2,2,2,3,1,1,1,1,0,1,1,1,1,2,2,2,3,1,1,1,1,1,1,1,1,0,2,2,3,1,1,1,1
SWE,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
